2026-08-06 11:47:27,726 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2026-08-06 11:47:27,726 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', index=0, name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2026-08-06 11:47:27,727 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', index=0, name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2026-08-06 11:47:27,727 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', index=0, name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-08-06 11:47:27,727 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', index=0, name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-08-06 11:47:27,727 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', index=0, name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,727 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneral.ttf', index=0, name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,727 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', index=0, name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', index=0, name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', index=0, name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', index=0, name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', index=0, name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', index=0, name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', index=0, name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,728 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBol.ttf', index=0, name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', index=0, name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', index=0, name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 0.05
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUni.ttf', index=0, name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', index=0, name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmr10.ttf', index=0, name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', index=0, name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,729 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmti10.ttf', index=0, name='cmti10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,730 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', index=0, name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-06 11:47:27,730 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', index=0, name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-06 11:47:27,730 - DEBUG - findfont: score(FontEntry(fname='D:\\Projects\\TreeAIBox\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymReg.ttf', index=0, name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
