2026-08-07 15:08:41,159 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0.
2026-08-07 15:08:41,165 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', index=0, name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,165 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymReg.ttf', index=0, name='STIXSizeThreeSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', index=0, name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Bold.ttf', index=0, name='DejaVu Sans Mono', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', index=0, name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', index=0, name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmti10.ttf', index=0, name='cmti10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\LastResortHE-Regular.ttf', index=0, name='Last Resort High-Efficiency', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', index=0, name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', index=0, name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2026-08-07 15:08:41,174 - DEBUG - findfont: score(FontEntry(fname='C:\\Users\\W0491597\\Documents\\Arun\\TreeAIBox (2)\\TreeAIBox\\.conda\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', index=0, name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
